Judul,Hoax Probability,Actual
foto aliansi kerja panjang sudirmankuningan,99.7,HOAX
yang tau di lengan kanan bagi atas seragam tentara turki bernomer 571,99.8,HOAX
umat islam new zealand bakar gereja,99.6,HOAX
menpora dukung batal kirim atlet china masters,86.3,BUKAN HOAX
uang pecah rp 200 ribu resmi luncur,99.1,HOAX
info bin densus 88 hindar pergi mallmall jakarta,99.2,HOAX
art warga depok pasien corona isolasi rsud,0.0,BUKAN HOAX
video lockdown sikafir china terus masuk indonesia,100.0,HOAX
nyata menu pes belum,100.0,HOAX
kri kerambit tangkap kapal bendera malaysia curi ikan,79.2,BUKAN HOAX
bangun mall agung podomoro tuduh dalang bakar pasar aur kuning bukit tinggi,99.9,HOAX
pegawai batan ancam bui simpan radioaktif ilegal,0.9,BUKAN HOAX
pukul sopir taksi online sopir taksi bandara,100.0,HOAX
video surat suara coblos 01 medan,99.9,HOAX
viral video kawan monyet arab saudi tanda bencana alam besar,100.0,HOAX
foto suspect corona di rs saleh probolinggo moga beri lindung,100.0,HOAX
tni mutasi 329 perwira danpuspomad rektor unhan ganti,99.9,BUKAN HOAX
masvidal usai kalah ufc 251 buat banyak salah,0.0,BUKAN HOAX
plaza indonesia tutup 10 hari virus corona,99.6,BUKAN HOAX
viking persib club tegas libat aksi demo reformasi korupsi,82.4,HOAX
450 ribu ktp kirim kamboja penting kampanye,1.6,HOAX
video gus dur baptis,79.1,HOAX
polisi tunggu rekomendasi bnn rehabilitasi dwi sasono,0.7,BUKAN HOAX
sedia umat islam laku doa warga jayapura,11.7,BUKAN HOAX
jumlah polisi india tiba indonesia,0.1,HOAX
tim kampanye jokowimaruf lapor akun facebook polisi,16.9,BUKAN HOAX
klarifikasi polri kait isu jenderal tito mek arab saudi,0.0,BUKAN HOAX
polisi bungkam soal temu baru radioaktif tangsel,0.0,BUKAN HOAX
ayooo musium gajah pamer budaya arab,99.7,HOAX
polres banjarbaru bantah laku periksa aman dagang pentol bahan daging kucing,0.0,BUKAN HOAX
cara cek kartu sim sukses registrasi,0.4,BUKAN HOAX
tentara asing kfc cere mall,99.6,HOAX
foto robek bakar kencing alquran wanita langsung dapat azab allah,100.0,HOAX
tak terima adu soal tarawih remaja rusak rumah warga,0.0,BUKAN HOAX
jne bagibagi telepon genggam samsung s7,99.8,HOAX
foto megawati potong tumpeng atas meja logo pki,100.0,HOAX
niaid uji vaksin hiv gagal,0.1,BUKAN HOAX
update corona 9 mei sumbar naik 16 kasus jambi tambah 15,0.0,BUKAN HOAX
film kapten amerika capten steve bangun masa modern kamu lihat virus corona,92.2,HOAX
polisi jadi buru milik akun negringeri88 nyata pimpin mca jasmev,100.0,HOAX
tentara merah rrc kamuflase jadi banser,100.0,HOAX
tribun news tulis densus 88 aman barang bukti al quran geledah rumah driver ojol duga teroris medan,66.0,BUKAN HOAX
perintah jokowi hati2 lanjut proyek kereta cepat pasca putus adil tiongkok,74.5,HOAX
anggota banser kudus jawa tengah keroyok sama emakemak jual nasi uduk,100.0,HOAX
gubernur lampung minta jabat tunda pergi keluar daerah,6.8,BUKAN HOAX
serang buah universitas afghanistan 25 tewas,0.3,BUKAN HOAX
cek fakta pidato bangsa prabowo subianto,0.5,BUKAN HOAX
video rekam helikopter kobebryant jatuh udara sebab mati,100.0,HOAX
aniaya ustadzah bekas,99.8,HOAX
virus corona sebar 12 mahasiswa aceh isolir wuhan,99.9,BUKAN HOAX
maklumat masyayikh ponpes lirboyo dukung prabowo sandi,100.0,HOAX
foto formasi 2019gantipresiden jasmerahmob umm,100.0,HOAX
jonatan bantu tonton empat final indonesia masters,1.0,BUKAN HOAX
klarifikasi kait kabar tugas kpps way kanan lampung tewas tikam lerai ribut timses caleg,0.0,BUKAN HOAX
kutip kim bok dong bunuh aktif china,99.9,HOAX
klarifikasi grab indonesia kait dukung forum komunikasi grab lampung salah satu pasang calon pilgub lampung,0.2,BUKAN HOAX
ketawain aja hoaknya kaum bumi datar,94.4,BUKAN HOAX
cuci bersih kurma kandung virus corona asal kelelawar,88.4,HOAX
risma walikota surabaya marah besar kpu bawaslu,7.0,HOAX
foto post prabowo sandi nanti dunia,100.0,HOAX
dinkes aceh ban atas isu ajar lumpuh vaksin mr,98.3,BUKAN HOAX
jelas kpk kait edar informasi rekrutmen palsu,0.0,HOAX
box office korea pekan samjin company english class,72.7,BUKAN HOAX
nama jokowi masuk daftar klien konsultan asing stanley greenberg,99.9,HOAX
broadcast whatsapp info test seleksi gttptt,100.0,HOAX
biadab jahanam muslim india tembak tempat belamuslimindia,98.4,HOAX
lelah jeon somin absen satu bulan running man,71.3,BUKAN HOAX
tito minta kepala daerah atur sanksi warga tak masker,0.0,BUKAN HOAX
klarifikasi komisi hukum mui kait isu lapor gp ansor banser polisi kait kasus bakar bendera,0.0,BUKAN HOAX
nasi kotak plus 2 ayam rendang,95.4,HOAX
bem unindra bantah terima dana ikut aksi unjuk rasa depan gedung dpr,2.3,HOAX
kartu askes laku per 1 oktober 2017,100.0,HOAX
dpr curiga 5 buruh china tangkap tni au masuk wilayah halim benar intelijen,100.0,BUKAN HOAX
stroke kambuh prabowo batal orasi politik acara fraksi pks,99.5,HOAX
tebak waktu butuh wanita orgasme,6.1,BUKAN HOAX
ppp tolak usul ambang batas parlemen jadi 5 persen,0.0,BUKAN HOAX
culi bayi bangil culik kabur pakai mobil elf warna hitam,99.4,HOAX
anak muda australia rentan bunuh diri efek pandemi,91.9,BUKAN HOAX
deddy corbuzier ikan mobil shinta nuriyah,97.9,HOAX
pemkot bandung kucur rp2982 m tangan corona,0.0,BUKAN HOAX
3 jam 9 gempa magnitudo 3 jadi banten,2.5,BUKAN HOAX
kades keroyok usai ingat warga salat id rumah,0.0,BUKAN HOAX
wanita sedang haid sekalikali jangan laku 4,100.0,HOAX
suara adzan masih kumandang masjid sudah tutup inggris,99.6,HOAX
yenny wahid pbnu gagal paham bijak perintah lima hari sekolah,94.6,BUKAN HOAX
foto post prabowo sandi nanti dunia,100.0,HOAX
foto jalan klaim di sumatera,100.0,HOAX
bocah kena ganggu jiwa terlalu banyak ikut les,99.8,HOAX
mu tinggal jauh banding liverpool man city,0.0,BUKAN HOAX
pks curiga motif perintah bahas ruu cipta kerja reses,2.9,BUKAN HOAX
hasil liga inggris leicester kalah tottenham 20,0.0,BUKAN HOAX
seru balik layar potret presiden jokowi klender,100.0,HOAX
henti tunjang kerja anggota tni,100.0,HOAX
jokowi positif corona,0.0,HOAX
corona pemkot yogyakarta pangkas retribusi dagang pasar,0.0,BUKAN HOAX
mayoritas daerah tinggal tumpuk indonesia timur,97.0,BUKAN HOAX
positif corona souza sempat libat kontak jelang ufc 249,0.0,BUKAN HOAX
latih bela negara tni fpi,99.8,HOAX
dai arifin ilham unggah postingan foto ribu umat muslim rohingya bakar hiduphidup,99.8,HOAX
sepi berita tiga biksu asal china tangkap edar uang palsu,100.0,BUKAN HOAX
satpol pp spanduk propaganda medan merdeka langgar perda,21.8,BUKAN HOAX
ratu elizabeth ii tinggal dunia,100.0,HOAX
sempat usir warga 20 tenaga medis aceh negatif corona,0.4,BUKAN HOAX
klarifikasi video kapolres landak akbp bowo gede imantio paksa makan babi,0.5,BUKAN HOAX
istana resmi pki boleh indonesia,13.2,HOAX
orang pria dander bojonegoro tinggal akibat guna hp,100.0,HOAX
sempat mandek serial obiwan kenobi tulis baru,47.9,BUKAN HOAX
viral daki tinggal gunung bawakaraeng,99.7,HOAX
mike pompeo temu jokowi tanda kuat bakal wasalam,0.1,HOAX
teknik selamat celaka mobil,79.7,HOAX
jamur vs terung,99.8,HOAX
tentara merah pkc nyamar jadi kerja proyek,58.4,HOAX
jelas kait isu ahok antasari azhar jadi dewan awas kpk,0.0,HOAX
jelas kepala media center prabowo kait pidato prabowo sebut indonesia punya 1 profesor fisika,0.0,BUKAN HOAX
teriak nama prabowo,0.3,BUKAN HOAX
muncul kabar honor volunter asi games respons erick thohir,13.2,HOAX
nyata gp ansor kait banser nu garut bakar bendera tauhid tulis la ilaha illa allah muhammad rasulullah,100.0,BUKAN HOAX
klaim corona kendali walkot bandung enggan jam malam,0.0,BUKAN HOAX
ada aksi sweeping ormas forum betawi rempug,99.8,HOAX
rusia minta turki setop bantu teroris suriah,0.0,BUKAN HOAX
siswa kejangkejang main game online dalam kelas,99.9,HOAX
era jokowi pki mulai exist,99.7,HOAX
kemenhub beri klarifikasi atas kabar sebut 2 pegawai tahan usai bakar gedung kemenhub,0.0,BUKAN HOAX
kasus semanggi gugat jaksa agung putus besok,3.1,BUKAN HOAX
bahan vaksin darah babi,100.0,HOAX
najwa shihab klarifikasi atas disinformasi foto temu najwa tommy soeharto,99.3,HOAX
siapa bro presiden indonesia bro,100.0,HOAX
klarifikasi kait beda hasil situng kpu pindah bentuk microsoft excel,0.0,BUKAN HOAX
paus fransiskus dua bantu nyata positif idap coronavirus,28.3,HOAX
3 anak tinggal korban cokelat mermaid rsud kapal badung bal,99.6,HOAX
akun facebook palsu gubernur jatim khofifah indar parawansa,99.4,HOAX
empat partai politik paling tak informatif versi komisi informasi publik muat kompascom,0.2,HOAX
kpu longgar batas alat aga kampanye pilkada 2020,0.0,BUKAN HOAX
banser angkat salib,100.0,HOAX
intip manfaat meditasi cuci piring gari bos amazon,0.2,BUKAN HOAX
video tanah abang penuh bray,99.7,HOAX
polisi bantah viralnya tampak pocong jumlah wilayah tangerang,0.0,HOAX
menteri uang sri mulyani milik 1200 bitcoin,99.9,HOAX
china cipta sayur kol sintetis,99.9,HOAX
pdip jabar minta dpc garut telusur paguyuban tunggal rahayu,0.0,BUKAN HOAX
daftar terima kpu solo paslon bajo sah lawan gibran,47.0,BUKAN HOAX
foto ribu demonstran kumpul istiqlal,100.0,HOAX
warga mb ketapang kotawaringin timur boleh shalat jumat tarawih masjid,98.9,HOAX
didik agama hapus,100.0,HOAX
kasatpol pp ntb minta maaf soal intimidasi jurnalis,0.0,BUKAN HOAX
kelahi debt collector vs warga wiyung surabaya,88.4,HOAX
foto jokowi tulis karya baik perintah hutang,100.0,HOAX
pln pasti pasok listrik lama nataru aman,97.6,BUKAN HOAX
nu dukung lgbt,98.0,BUKAN HOAX
orang warga tewas injak gajah liar sumsel,100.0,BUKAN HOAX
menara masjid alaqsha jayapura tolak begini respon menteri agama,0.5,BUKAN HOAX
cara siasat seks cuaca panas,0.0,BUKAN HOAX
lumpurpanas pinggir pintu tol glc,100.0,HOAX
foto kondisi tenggorok pasien positif covid19,96.3,HOAX
merdekacom buat tayang berita wanita bawa anjing masuk masjid polisi sebut laku alami ganggu jiwa jangan dibesarbesarkan,99.4,HOAX
pemprov jatim tunggu hasil kaji aju psbb,0.0,BUKAN HOAX
artis agnez mo tinggal akibat bunuh,100.0,HOAX
foto laku tusuk wiranto dukun pribadi jokowi,100.0,HOAX
video demo libanon massa lempar batu molotov polisi,100.0,BUKAN HOAX
logo sembako bantu presiden logo garuda ganti bintang,100.0,HOAX
yang siram bensin pintu kabah,99.4,HOAX
jokowi singgung banyak rakyat mati tv lantik,99.5,HOAX
tugas bersih sman 10 yogyakarta positif virus corona,66.2,HOAX
tim kampanye ahok bagibagi uang lalu atm,100.0,HOAX
tahu orangorang uyghur tular corona orangorang china rebut dapat alquran,100.0,HOAX
dpr soal insiden heli jatuh tambah biaya awat alutsista,0.2,BUKAN HOAX
tahu intensitas olahraga psbb nyanyi,0.0,BUKAN HOAX
pakai samar jadi lelaki gelar habib,98.3,HOAX
wali kota palu tinggal tsunami,99.3,HOAX
hoax pesawat ufo nepalcolorado us,87.8,HOAX
korban radiasi hp,99.6,HOAX
seorng anak usia 4thn skrng ada d polres purwakarta ngakunya jakarta,99.5,HOAX
barcelona rugi kali coutinho juara liga champions,0.0,BUKAN HOAX
satpol pp pasang spanduk kampanye ahok djarot,100.0,HOAX
jokowi tak mungkin vaksinasi serentak,40.7,BUKAN HOAX
nyata indonesia bodoh air mineral,100.0,HOAX
video kembang api olimpiade tampil saat olimpiade tokyo tunda karena covid19,0.2,HOAX
9 merek balut indonesia sebab kanker,100.0,HOAX
bagibagi toyota sienta gratis,99.9,HOAX
bri leceh sunnah islam,99.9,BUKAN HOAX
kemenkeu blokir rekening ruben ps marvey risi dana bantu bangun papua,0.6,BUKAN HOAX
visa bebas jadi sarana rakyat china datang indonesia cari kerja,100.0,HOAX
ilc tv one bredel aparat,99.7,HOAX
duga surat boongan,56.0,HOAX
a zambian student in china was beaten to death,100.0,HOAX
judul berita media asing hina jokowi,100.0,BUKAN HOAX
jadi serta jknkis mimin tak khawatir biaya cuci darah,32.2,BUKAN HOAX
gambar islam jangan liberal,100.0,HOAX
prof arysio santos nyata lokasi atlantis letak indonesia,100.0,HOAX
voucher makan gratis promo hut ke15 kfc,100.0,HOAX
seram bagi timur bpjs fokus layan sehat digital,12.2,BUKAN HOAX
video korban begal terminal bratang surabaya,100.0,HOAX
cacing kembang mata ucek pegang kucinganjing,0.2,HOAX
the invisible guest bakal buat ulang versi indonesia,0.1,BUKAN HOAX
foto bibir miring prabowo tanda stroke ringan,100.0,HOAX
australia ingat indonesia jendral gatot haus kuasa,87.0,HOAX
meet rebecca dia bunuh tugas medis wanita razzan meet rebecca she is the one who killed female medic officer razzan,100.0,HOAX
album perdana treasure siap luncur januari 2021,0.0,BUKAN HOAX
derita gila akibat pilpres tingkat tajam sumbar,99.8,HOAX
bbc news guna foto irak gambar bantai suriah,100.0,BUKAN HOAX
khabib vs mcgregor tunggu bulan ramadan,1.6,BUKAN HOAX
foto kader perempuan pks guna atribut 2019tambahistri,100.0,HOAX
jack ma habib rizieq galang dana rp 500 m lawan corona,98.5,HOAX
sandiaga uno ancol untuk orang kaya,100.0,HOAX
david beckham pakai kaos tulis free west papua kunjung wamena papua,99.9,HOAX
video sepeda masuk pantai indah kapuk pakai paspor,100.0,HOAX
markas indonesia ajar jadi basecamp anies pilkada dki,99.6,HOAX
dakta 107 fm klaim obat corona had pranoto,33.9,BUKAN HOAX
tuduh curi medali milik bambang pamungkas muhammad yusuf buka suara,43.9,HOAX
dahnil anzar larang paspampres masuk ruang muktamar kexvii pemuda muhammadiyah umy bantul,96.6,HOAX
poster acara parade budaya dukung ahok,99.9,HOAX
kpk buka peluang adil harun nurhadi in absentia,0.0,BUKAN HOAX
semua tanya soal registrasi sim card jawab,0.1,BUKAN HOAX
dampak virus covid19 hubung suami istri jadi ancam,100.0,HOAX
gaji skuat liverpool 30 kali lipat shrewsbury,0.0,BUKAN HOAX
menhan as tolak upaya trump kerah militer hadap demo,0.2,BUKAN HOAX
latih persib dukung putus liga 1 soal corona,0.0,BUKAN HOAX
jelas data fakta nyata djarot saiful hidayat banding kerja jokowi sby soal bangun sumut,0.7,BUKAN HOAX
orang telah ludah alquran kencing alquran,100.0,HOAX
bayi nabila tinggal kabut asap jambi,99.3,HOAX
kapolda sumut tebar 75 ribu bibit ikan tahan pangan,1.2,BUKAN HOAX
zodiak baru nasa ophiuchus 30 november 17 desember,0.0,HOAX
dagang aset,90.4,HOAX
ketua kpud depok tetap sangka korupsi anggar pilkada depok,0.4,HOAX
rumah pribadi jakarta utara jadi sembunyi tka ilegal,99.8,HOAX
foto kumpul maling suara,100.0,HOAX
cair wadah main anak rupa pisang kandung narkoba,0.4,BUKAN HOAX
bugillagi di pecat,93.3,HOAX
usus ibu makan bayi,98.7,HOAX
permen susu kandung pcc,99.8,HOAX
beneran ikan duyung,87.8,HOAX
brantas kebeutalan dini,1.6,BUKAN HOAX
3 pimpin kpk periksa soal duga langgar etik ott unj,0.0,BUKAN HOAX
450 ribu ktp kirim kamboja penting kampanye,1.6,HOAX
nyata afi inayah perihal kitab suci,100.0,HOAX
ruang awat covid riau penuh warga wajib rumah lama minggu,20.0,HOAX
as tawar hadiah rp142 m bantu tangkap pimpin isis,5.7,BUKAN HOAX
gambar karikatur media prancis,99.9,HOAX
kota myanmar jadi kota kutuk akibat buat,100.0,HOAX
data mabes tni dasar formulir c1,99.9,HOAX
bea cukai riau adakan lelang tutup harga murah,41.6,HOAX
video tugas kpps coblos kertas suara halmahera tengah edar,0.2,BUKAN HOAX
video dr cheng sembuh covid19 cukup vitamin c,100.0,HOAX
foto mesut ozil injak bendera tiongkok,100.0,HOAX
emil salim tinggal,100.0,HOAX
brookings institution cakap joko widodo presiden indonesia,0.5,BUKAN HOAX
mini countryman blackheath cuma 24 unit indonesia,99.9,BUKAN HOAX
pers rilis seketariat presiden sebut sri mulyani menteri antek aseng,17.6,HOAX
dagang pasar gir positif covid19,2.7,HOAX
kaesang pangarep komisaris usaha batu bara lg nyamar jadi jual pisang kopi,99.9,HOAX
pks kritik anggar buat influencer redam dampak corona,0.0,BUKAN HOAX
akun twitter palsu fahri hamzah,99.9,HOAX
5 cara atas susah tidur lama pandemi corona,0.0,BUKAN HOAX
pks tolak apa sandiwara,54.8,HOAX
klarifikasi gedung dpr jadi bakar,0.0,BUKAN HOAX
tuduh tipu yusuf mansur tempuh jalur hukum,59.2,BUKAN HOAX
fernandes jangan sama pogba messi ronaldo,0.0,BUKAN HOAX
foto wanita iran tonton piala dunia hijab jadi viral,99.7,BUKAN HOAX
awat royal td suami jg wafat barusan,48.3,HOAX
google pincut fitur layar lipat samsung galaxy z flip,15.4,BUKAN HOAX
dinkes sumut ancam buka identitas odp corona liar,0.0,BUKAN HOAX
presiden jokowi dalam dokumen asli pki sepenuh salah hanya kena fitnah zaman,99.9,HOAX
hasil tes reaktif sangka kasus impor tesktil tak tahan,0.0,BUKAN HOAX
foto makam gus dur guna tulis aku tunda,44.3,HOAX
artis dorce gamalama tinggal dunia,99.9,BUKAN HOAX
mistikus cinta tutup sesi pertama konser dewa 19 bandung,99.7,BUKAN HOAX
kartu merah final piala dunia 2006 buat zidane jauh rekan,0.9,BUKAN HOAX
dinkes aceh ban atas isu ajar lumpuh vaksin mr,98.3,BUKAN HOAX
bukan potong gaji mereka tim medis malah potong tunjang tim medis,99.9,HOAX
orang anggota banser stress tinggal tidak tahan sering ejek jaga gereja bubar aji,99.9,HOAX
guerreiro titis bale kian moncer sama dortmund,1.2,BUKAN HOAX
kas negara kosong,99.8,HOAX
pak jokowi jangan panik hadap mahasiswa,100.0,HOAX
rusia sampai minta ilmu strategi perang orang indonesia malah ragu saya,99.9,HOAX
dandim kendari kemarin pecat nyata pernah bantu evakuasi korban celaka,0.0,HOAX
video judul inalilahiwainairojiun tinggal dunia bpk wiranto selamat jln bpk wiranto,100.0,HOAX
hatihati ketemu anak kecil menang jalan modus baru jahat rampok perkosa culik,100.0,HOAX
naik biaya pbb besar 100 persen jagakarsa jakarta selatan,5.6,HOAX
meghan markle baca buku anak archie ogah anteng,88.4,BUKAN HOAX
impor anjlok defisit transaksi jalan susut jadi us39 m,99.8,BUKAN HOAX
burhanuddin muhtadi tuding dalang quick count palsu,99.7,HOAX
layan sim libur lama 2 minggu,50.9,HOAX
fluoride sangat bahaya sebab kanker,100.0,HOAX
paham politik gak sih pak,99.8,HOAX
bandara soekarno hatta jual hongkong,99.9,HOAX
lawan liverpool everton minta waspada amarah van dijk,0.0,BUKAN HOAX
koplak kompas tv demo tolak hip ga siar gilir demo pdip live,98.1,HOAX
arab saudi ada raya maulid nabi,99.8,HOAX
tepuk lengan tolong pertama serang jantung,99.7,HOAX
psbb transisi bioskop dki boleh operasi,0.0,BUKAN HOAX
usai wfh komisioner bawaslu 3 staf positif covid19,0.0,BUKAN HOAX
tni sebut tiga prajurit tembak kkb nduga stabil,1.1,BUKAN HOAX
jumlah wilayah rendam banjir pamekasan tewas bocah,0.1,BUKAN HOAX
video mati sembuh pasien corona lewat mei 2020,0.6,BUKAN HOAX
mesin sedot suara tiongkok mulai main,99.7,HOAX
guna foto patung buddha wajah gus dur sudah tutup,99.9,HOAX
smk boleh buka jurus komputer jaring,0.4,BUKAN HOAX
gambar bayangbayang luhut sampul majalah tempo,100.0,HOAX
polisi kantong identitas buron begal sepeda marinir,92.5,BUKAN HOAX
aa gym lebih baik pilih pimpin koruptor muslim pimpin bersih jujur kafir non muslim,99.8,HOAX
rudy hartono tinggal dunia,100.0,HOAX
heboh nyata dokter indonesia soal covid,0.3,HOAX
tan bantah lockdown usai 17 pegawai infeksi covid19,0.0,BUKAN HOAX
indonesia kirim wakil lgbtgay festival lgbt paris,82.2,HOAX
foto fadli zon alm suhardi,99.9,HOAX
video cakap bagibagi jatah menteri bumn rini soemarno sama dirut pln sofyan basri,99.9,HOAX
langgan fitur otonom mobil tesla buka 2021,0.0,BUKAN HOAX
mac demarco janji alam aneh lewat serial animasi,42.7,BUKAN HOAX
ribu warga china datang indonesia lewat bandara kota pekanbaru,100.0,HOAX
presiden ufc beri bonus mcgregor rp678 juta,10.8,BUKAN HOAX
motif baco hermansyah kasus chat rizieq shihab,65.4,BUKAN HOAX
kerja lrt tangkap karawang sangka tentara merah pkc,3.2,HOAX
gambar cari orang hilang sedang alami ganggu jiwa banyak mikirin utang,100.0,HOAX
george clooney tanggap benta tom cruise kru film,0.0,BUKAN HOAX
beberapa paud buka orang tua sebut cari titip,1.0,BUKAN HOAX
foto presiden jokowi sama lawak istana negara kait covid19,98.8,HOAX
teknik sebar hoax ancam,0.0,BUKAN HOAX
kodam diponegoro tak beri ampun prajurit tni lgbt,90.0,BUKAN HOAX
djp bantah call centernya minta data ktp identitas lain,0.1,BUKAN HOAX
menpora imam nahrawi mundur jabat,99.0,HOAX
fb lite di hack,99.8,HOAX
surat presiden jokowi minta dukung bumn menang pilpres 2019,100.0,HOAX
cegah lonjak pandemi hibur malam jabar larang buka,0.0,BUKAN HOAX
kader gerindra rasa fitnah poster aja deklarasi 2019gantipresiden bandar lampung janji imbal,0.5,BUKAN HOAX
dewas kpk kumpul bukti duga gaya hidup mewah firli,0.0,BUKAN HOAX
corona wabah gubernur ganjar libur driver grab grobogan akan aju pihak grab beri insetif 200rb per hari,1.4,HOAX
anies jelas alas sikm tak laku psbb jilid ii,0.0,BUKAN HOAX
man city enggan pikir empat final liga champions,0.0,BUKAN HOAX
siap konser gbk raisa aransemen ulang lagu,99.4,BUKAN HOAX
satelit merah putih milik telkom indonesia resmi luncur spacex,0.4,BUKAN HOAX
foto kubur masal ulama santri 1948 pki muso,100.0,HOAX
ada temu 3 ton sabu kapal mv win long bh 2998,1.6,HOAX
polisi periksa 10 orang kait ledak bengkel las sumut,0.0,BUKAN HOAX
hamza dalj asal aljazair hacker bantu palestina hukum mati,94.4,HOAX
klarifikasi dinkes kait informasi ramu minyak tanah bisa obat sakit asam urat kolesterol tekan darah tinggi,0.0,BUKAN HOAX
operasi simpatik 2020 polri,0.5,HOAX
tribun news tulis densus 88 aman barang bukti al quran geledah rumah driver ojol duga teroris medan,66.0,BUKAN HOAX
uang pangkal masuk undip capai 87 miliar rupiah,100.0,HOAX
megawati jokowi idam seluruh alam bahkan alien mau pimpin beliau,100.0,HOAX
racun vaksin apa yg kalian tebar,100.0,HOAX
jadwal bioskop trans tv 29 juni5 juli 2020,0.3,BUKAN HOAX
orang narapidana makan alkitab eksekusi mati,100.0,HOAX
ahy waspada pihak ingin bentur pancasila islam,97.1,BUKAN HOAX
kunjung jokowi nz sambut aksi papua merdeka,0.5,BUKAN HOAX
klarifikasi sosdrjohnsimpsonforindonesia,0.0,BUKAN HOAX
pawai sambut pak prabowo bandung,99.9,HOAX
dahnil ajak dukung prabowo mudik lebaran guna kuda,99.9,HOAX
nyata ketua mui kait larang takbir keliling,0.0,BUKAN HOAX
azan lemah virus corona,95.4,HOAX
moeldoko sebut uu omnibus law bakal nikmat calon kerja,0.0,BUKAN HOAX
dpr tagih draf ruu omnibus law masuk prolegnas 2020,0.0,BUKAN HOAX
mahasiswi unj tinggal habis oksigen kena gas air mata,99.9,HOAX
tni kawal uztaz bachtiar nasir ketua fpi,99.6,HOAX
amnesty sebut paramedis dunia alami diskriminasi pandemi,0.0,BUKAN HOAX
bajing tengik pki mulai terangterangan,99.7,HOAX
cegah sebar corona salat jumat korsel tiada,0.0,BUKAN HOAX
juara spanyol masters greysiaapriyani aku sempat keteter,0.0,BUKAN HOAX
kpk aku izin dewas laku geledah kasus suap kpu,0.0,BUKAN HOAX
bangun bakar polda metro jaya bukan gudang peluru,87.5,BUKAN HOAX
kemkominfo buat help desk registrasi kartu prabayar,99.8,HOAX
nyata prabowo ngaji,100.0,HOAX
instruksi gubernur jateng tilang yg masker muka umum rp150000 guna etilang via apps pikobar,100.0,HOAX
tum mui jangan guna nama muslim sebar hoax,54.6,BUKAN HOAX
aparat polisi sektor mimika baru aniaya warga,63.2,HOAX
